city,state,no_schooling,nursery_school,kindergarten,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th_no_diploma,hs_diploma,GED_or_alternative_credential,college_less_than_year,college_more_than_year_no_degree,associate_degree,bachelor_degree,master_degree,professional_degree,doctorate_degree,computers_mathematics_statistics,biological_agricultural_environmental_sciences,physical_related_sciences,psychology,social_sciences,engineering,multidisciplinary,science_engineering_related,business,education,literature_languages,liberal_arts_history,visual_performing_arts,communications,other
Abbeville,LA,181,0,0,0,8,43,33,126,216,243,599,408,583,765,239,4235,917,756,1529,586,1209,309,30,21,56,43,49,45,47,29,0,211,285,532,15,111,40,87,79
Abbeville,SC,50,0,0,0,0,0,33,19,0,28,77,64,107,161,160,1130,157,274,473,209,324,84,20,0,20,31,0,20,8,0,0,86,108,77,35,15,0,0,40
Abbotsford,WI,17,0,0,15,0,2,0,35,33,22,167,74,59,88,67,1033,84,175,288,159,196,29,29,0,10,42,20,0,27,0,0,27,29,80,12,4,4,8,6
Aberdeen,MS,43,0,0,0,0,3,0,13,81,36,113,14,211,195,133,835,175,117,432,150,341,125,24,23,0,41,15,16,10,3,0,58,102,190,0,9,11,0,82
Aberdeen,SD,56,0,0,0,0,0,84,0,71,0,646,123,123,141,254,4939,929,975,2607,1764,3723,903,127,241,67,244,143,165,489,176,0,613,1452,1207,192,214,104,114,296
Aberdeen,WA,185,18,0,12,59,152,39,27,229,63,396,377,322,588,284,4927,1188,2282,3457,2229,1789,659,140,166,38,258,57,232,270,165,0,286,418,536,112,247,72,82,218
Aberdeen--Bel Air South--Bel Air North,MD,903,9,28,34,0,46,123,94,325,210,1212,995,2208,2175,1724,35745,4907,11991,21668,12142,30418,15520,2160,2338,3529,3503,2009,2884,3513,4335,378,5457,12153,6768,1960,2349,1241,1614,2440
Abernathy,TX,82,0,0,0,13,16,5,11,97,14,54,92,57,81,15,541,156,213,258,85,173,123,0,0,0,33,9,5,4,5,0,0,63,67,28,18,18,38,16
Abilene,KS,13,0,0,0,0,0,0,0,0,0,186,35,154,110,192,1419,159,399,679,286,619,303,60,39,29,106,15,64,28,41,15,26,268,324,21,38,30,17,34
Abilene,TX,1406,1,18,105,112,242,88,250,614,471,878,1356,1633,1620,1055,14374,4730,5009,11769,4960,11133,3538,795,642,387,855,603,822,740,555,165,1558,3240,4013,667,1134,555,764,1293
