4_digit_NAICS_code,NAICS_title,education,employees,mean_income,10_percent,25_percent,50_percent,75_percent,90_percent
1133,Logging,Bachelor's degree,"1,290","78,820","36,770","50,680","69,250","96,140","130,930"
1133,Logging,Associate's degree,40,"41,820","33,000","40,220","43,350","46,480","48,360"
1133,Logging,Postsecondary nondegree award,"8,470","38,790","25,420","30,940","37,510","46,030","54,980"
1133,Logging,"Some college, no degree",860,"35,400","19,070","25,640","34,110","45,090","53,270"
1133,Logging,High school diploma or equivalent,"39,930","38,930","21,980","28,620","36,600","46,360","58,700"
1133,Logging,No formal educational credential,"1,290","29,180","17,790","20,490","27,060","35,750","44,950"
1151,Support Activities for Crop Production,Bachelor's degree,"5,580","85,660","27,620","46,740","69,920","105,170","168,440"
1151,Support Activities for Crop Production,Associate's degree,240,"33,310","20,870","23,490","29,290","37,330","51,030"
1151,Support Activities for Crop Production,Postsecondary nondegree award,"4,250","34,550","20,080","24,810","31,600","41,940","54,830"
1151,Support Activities for Crop Production,"Some college, no degree",,"38,460","19,820","27,410","37,420","46,890","57,210"
1151,Support Activities for Crop Production,High school diploma or equivalent,"42,620","39,900","19,720","23,910","32,610","47,990","67,340"
1151,Support Activities for Crop Production,No formal educational credential,"275,880","22,240","18,790","19,130","19,720","23,320","29,560"
1152,Support Activities for Animal Production,Doctoral or professional degree,120,"103,810","64,270","78,260","88,270","99,440","180,360"
1152,Support Activities for Animal Production,Bachelor's degree,"1,800","75,140","32,380","46,010","61,910","89,350","136,000"
1152,Support Activities for Animal Production,Associate's degree,880,"36,050","22,190","26,680","32,360","42,540","54,760"
1152,Support Activities for Animal Production,Postsecondary nondegree award,150,"38,980","27,420","32,250","36,730","43,950","55,560"
1152,Support Activities for Animal Production,"Some college, no degree",610,"38,420","21,050","28,450","36,870","46,830","57,800"
1152,Support Activities for Animal Production,High school diploma or equivalent,"11,380","37,060","18,810","22,370","30,370","43,830","63,650"
1152,Support Activities for Animal Production,No formal educational credential,"14,530","26,850","17,840","20,010","24,500","32,020","38,850"
2111,Oil and Gas Extraction,Doctoral or professional degree,"2,500","152,950","59,060","85,110","132,150",,
2111,Oil and Gas Extraction,Master's degree,220,"106,760","51,950","73,360","98,910","125,790","162,490"
2111,Oil and Gas Extraction,Bachelor's degree,"78,510","128,170","53,310","75,950","111,110","160,480",
2111,Oil and Gas Extraction,Associate's degree,"7,590","72,810","39,720","52,080","68,460","86,570","108,010"
2111,Oil and Gas Extraction,Postsecondary nondegree award,"2,860","48,020","30,470","35,830","43,910","54,770","72,270"
2111,Oil and Gas Extraction,"Some college, no degree","5,260","47,180","24,670","33,550","43,810","57,820","73,830"
2111,Oil and Gas Extraction,High school diploma or equivalent,"70,860","63,900","28,120","38,960","55,710","77,250","108,170"
2111,Oil and Gas Extraction,No formal educational credential,"25,890","50,420","26,100","33,570","45,300","61,140","78,700"
2121,Coal Mining,Bachelor's degree,"6,050","98,520","45,940","60,050","85,870","119,060","163,210"
2121,Coal Mining,Associate's degree,360,"55,590","32,510","41,880","54,810","68,000","77,340"
2121,Coal Mining,Postsecondary nondegree award,"2,350","48,200","30,600","36,340","46,850","59,050","70,840"
2121,Coal Mining,"Some college, no degree",530,"39,480","22,970","28,240","35,330","45,980","63,980"
2121,Coal Mining,High school diploma or equivalent,"46,850","55,840","32,200","41,150","53,540","68,270","82,180"
2121,Coal Mining,No formal educational credential,"13,310","48,660","27,860","38,730","50,380","59,210","67,820"
2122,Metal Ore Mining,Bachelor's degree,"5,370","90,230","53,610","67,470","84,240","107,440","132,030"
2122,Metal Ore Mining,Associate's degree,"1,790","59,250","40,210","47,270","58,230","70,660","80,050"
2122,Metal Ore Mining,Postsecondary nondegree award,"2,860","46,710","30,350","36,150","46,380","57,180","63,350"
2122,Metal Ore Mining,"Some college, no degree",,"42,310","31,940","34,210","38,000","47,360","61,340"
2122,Metal Ore Mining,High school diploma or equivalent,"27,080","57,050","34,510","43,880","56,330","69,650","79,250"
2122,Metal Ore Mining,No formal educational credential,"6,070","49,110","24,450","36,590","50,180","60,870","72,870"
2123,Nonmetallic Mineral Mining and Quarrying,Bachelor's degree,"6,440","98,780","47,460","63,850","86,650","117,870","161,220"
2123,Nonmetallic Mineral Mining and Quarrying,Associate's degree,660,"48,530","31,590","37,470","46,380","57,960","71,190"
2123,Nonmetallic Mineral Mining and Quarrying,Postsecondary nondegree award,"9,720","39,130","25,960","31,120","37,230","46,110","56,190"
2123,Nonmetallic Mineral Mining and Quarrying,"Some college, no degree","1,250","39,660","23,340","29,920","37,230","47,210","61,710"
2123,Nonmetallic Mineral Mining and Quarrying,High school diploma or equivalent,"59,120","44,570","25,460","32,070","40,630","52,920","70,490"
2123,Nonmetallic Mineral Mining and Quarrying,No formal educational credential,"15,350","37,610","21,240","26,990","34,980","45,310","58,600"
2131,Support Activities for Mining,Doctoral or professional degree,240,"182,630","54,140","114,370","180,240",,
2131,Support Activities for Mining,Bachelor's degree,"46,000","111,460","47,720","67,170","93,420","135,020",
2131,Support Activities for Mining,Associate's degree,"10,700","55,140","27,380","36,560","49,640","70,090","90,270"
2131,Support Activities for Mining,Postsecondary nondegree award,"27,940","46,220","31,540","35,070","41,470","49,540","64,270"
2131,Support Activities for Mining,"Some college, no degree","5,380","43,320","26,200","32,040","39,990","50,740","63,790"
2131,Support Activities for Mining,High school diploma or equivalent,"162,910","54,100","26,730","34,000","45,860","64,320","92,400"
2131,Support Activities for Mining,No formal educational credential,"159,060","44,500","25,850","32,030","39,950","52,370","66,100"
2211,"Electric Power Generation, Transmission and Distribution",Doctoral or professional degree,940,"137,540","64,540","87,480","124,690","178,230",
2211,"Electric Power Generation, Transmission and Distribution",Master's degree,390,"88,140","50,610","68,070","86,470","107,620","128,950"
2211,"Electric Power Generation, Transmission and Distribution",Bachelor's degree,"104,340","99,000","56,560","72,750","93,670","118,420","148,520"
2211,"Electric Power Generation, Transmission and Distribution",Associate's degree,"16,610","73,990","46,050","59,250","73,840","89,290","100,520"
2211,"Electric Power Generation, Transmission and Distribution",Postsecondary nondegree award,"18,530","72,040","50,590","63,280","73,080","84,650","95,090"
2211,"Electric Power Generation, Transmission and Distribution","Some college, no degree","5,650","52,150","32,040","39,560","49,290","61,800","77,870"
2211,"Electric Power Generation, Transmission and Distribution",High school diploma or equivalent,"235,690","66,700","34,820","48,340","66,990","83,800","98,650"
2211,"Electric Power Generation, Transmission and Distribution",No formal educational credential,"10,410","44,460","19,560","26,960","42,270","60,420","73,750"
2212,Natural Gas Distribution,Doctoral or professional degree,360,"174,650","70,510","101,470","172,330",,
2212,Natural Gas Distribution,Master's degree,70,"94,490","62,760","74,900","88,400","100,770","119,280"
2212,Natural Gas Distribution,Bachelor's degree,"30,620","102,050","56,560","73,000","95,270","121,730","154,580"
2212,Natural Gas Distribution,Associate's degree,"2,860","68,930","40,150","52,360","66,610","82,070","104,480"
2212,Natural Gas Distribution,Postsecondary nondegree award,"2,190","63,140","33,890","45,630","62,720","79,980","94,380"
2212,Natural Gas Distribution,"Some college, no degree","1,520","57,000","31,610","39,330","55,820","72,290","86,690"
2212,Natural Gas Distribution,High school diploma or equivalent,"71,670","66,260","34,230","47,470","64,850","80,870","101,090"
